variable,coefficient,std_err,t_value,p_value,conf_lower,conf_upper,significance,model
Intercept,0.10026910981267417,0.057454899279086764,1.7451794550298954,0.08095363630738951,-0.012340423509712206,0.21287864313506055,*,CAPM
C(year)[T.2023],0.002469340435063676,0.04626285855593328,0.053376304710573905,0.9574320843952147,-0.08820419615643625,0.09314287702656361,,CAPM
C(year)[T.2024],0.016288886093021517,0.0509949806596201,0.3194213603441901,0.7494070153284813,-0.08365943939215048,0.11623721157819353,,CAPM
C(year)[T.2025],-0.01620878800889473,0.05551564544492504,-0.2919679286621076,0.77031114531771,-0.1250174536594429,0.09259987764165344,,CAPM
C(year)[T.2026],0.02394741221623245,0.05278314441262371,0.4536943087177115,0.6500488637991348,-0.0795056498232866,0.12740047425575152,,CAPM
layoff_pct,-0.02639722746443252,0.25197832163272244,-0.10475991463626179,0.9165663184534909,-0.5202656627494185,0.46747120782055346,,CAPM
ai_mentioned,0.03262726419516375,0.03012119493185213,1.0831995300645108,0.2787198682891445,-0.026409193042576835,0.09166372143290433,,CAPM
log_funds_raised,-0.0049753730031787706,0.0037870002688338467,-1.3138031819339866,0.18891244656246375,-0.012397757139536614,0.0024470111331790717,,CAPM
prior_6m_return,-0.04074903703808229,0.07483614609551012,-0.54451009524296,0.586090503349344,-0.18742518812705994,0.10592711405089535,,CAPM
Intercept,0.10089592527863449,0.054293713392366175,1.8583353205091457,0.06312141101441425,-0.005517797557343218,0.2073096481146122,*,FF4
C(year)[T.2023],-0.00240025010394293,0.04325431205172103,-0.05549157968511551,0.9557468380533106,-0.08717714390137296,0.0823766436934871,,FF4
C(year)[T.2024],0.0169213733138146,0.04992161249450689,0.33895886908053174,0.7346407155362584,-0.08092318922558367,0.11476593585321287,,FF4
C(year)[T.2025],-0.0211332914449742,0.05242105614252825,-0.403145090925193,0.6868414909432015,-0.12387667351588173,0.08161009062593334,,FF4
C(year)[T.2026],0.03097623413829347,0.05186397537774864,0.5972591555637538,0.550334369587249,-0.07067528969716601,0.13262775797375295,,FF4
layoff_pct,-0.045646246692930714,0.2467414091560733,-0.18499629571320853,0.8532319410201936,-0.5292505221334959,0.43795802874763445,,FF4
ai_mentioned,0.034415491952233424,0.028827019819834175,1.1938622919513224,0.23253183993740079,-0.022084428676263874,0.09091541258073071,,FF4
log_funds_raised,-0.004595359637082946,0.003544129541954795,-1.2966116454502776,0.19476484351413392,-0.011541725895858782,0.002351006621692891,,FF4
prior_6m_return,-0.02285695888090437,0.06926463219855994,-0.3299946618554279,0.741403995631507,-0.15861314339249521,0.11289922563068648,,FF4
