,coefficient,coefficient,std_err,std_err,t_value,t_value,p_value,p_value,significance,significance
model,CAPM,FF4,CAPM,FF4,CAPM,FF4,CAPM,FF4,CAPM,FF4
variable,,,,,,,,,,
C(year)[T.2023],0.002469340435063676,-0.00240025010394293,0.04626285855593328,0.04325431205172103,0.053376304710573905,-0.05549157968511551,0.9574320843952147,0.9557468380533106,,
C(year)[T.2024],0.016288886093021517,0.0169213733138146,0.0509949806596201,0.04992161249450689,0.3194213603441901,0.33895886908053174,0.7494070153284813,0.7346407155362584,,
C(year)[T.2025],-0.01620878800889473,-0.0211332914449742,0.05551564544492504,0.05242105614252825,-0.2919679286621076,-0.403145090925193,0.77031114531771,0.6868414909432015,,
C(year)[T.2026],0.02394741221623245,0.03097623413829347,0.05278314441262371,0.05186397537774864,0.4536943087177115,0.5972591555637538,0.6500488637991348,0.550334369587249,,
Intercept,0.10026910981267417,0.10089592527863449,0.057454899279086764,0.054293713392366175,1.7451794550298954,1.8583353205091457,0.08095363630738951,0.06312141101441425,*,*
ai_mentioned,0.03262726419516375,0.034415491952233424,0.03012119493185213,0.028827019819834175,1.0831995300645108,1.1938622919513224,0.2787198682891445,0.23253183993740079,,
layoff_pct,-0.02639722746443252,-0.045646246692930714,0.25197832163272244,0.2467414091560733,-0.10475991463626179,-0.18499629571320853,0.9165663184534909,0.8532319410201936,,
log_funds_raised,-0.0049753730031787706,-0.004595359637082946,0.0037870002688338467,0.003544129541954795,-1.3138031819339866,-1.2966116454502776,0.18891244656246375,0.19476484351413392,,
prior_6m_return,-0.04074903703808229,-0.02285695888090437,0.07483614609551012,0.06926463219855994,-0.54451009524296,-0.3299946618554279,0.586090503349344,0.741403995631507,,
