outcome,variable,coef_linear,pval_linear,coef_log,pval_log
"CAR[-1,+1]",ai_broad,0.6810200037888896,0.796294913376591,0.682469826030268,0.7957848225979988
"CAR[-1,+1]",post_chatgpt,-0.027143849219968486,0.9833785538519163,-0.02945927588944719,0.9819996927851924
"CAR[-1,+1]",ai_x_post,-1.4259295781828096,0.6241374854894621,-1.4388030291554457,0.621155963201496
"CAR[-1,+1]",event_sequence,0.7919785962395182,0.09604112077699792,,
"CAR[-1,+1]",log_seq,,,1.3510515119464577,0.15219865161973845
"CAR[-1,+1]",const,-1.9952194122307343,0.1245152178563029,-1.2158059420831655,0.2977375299795727
"CAR[0,+20]",ai_broad,-6.1024181872079595,0.44759219914192716,-6.096936407143666,0.4477382870955863
"CAR[0,+20]",post_chatgpt,-2.110281203806884,0.3736319808463767,-2.246369823622819,0.34574133302338106
"CAR[0,+20]",ai_x_post,3.3496085837137377,0.6860467233010303,3.195761203174566,0.6995285418474331
"CAR[0,+20]",event_sequence,1.1522805135475394,0.26105648206835197,,
"CAR[0,+20]",log_seq,,,2.4506068950360342,0.2114216342797487
"CAR[0,+20]",const,1.6394177385102933,0.489984614047253,2.744189491500663,0.18849619725847477
