group,window,mean_car,std_car,N,t_stat,p_val,sample,caar,se,t,p
First events,"CAR[-1,+1]",-1.1951447768927634,9.687688442791996,271,,,,,,,
Subsequent events,"CAR[-1,+1]",-0.41739077879570874,8.133780905674586,157,-0.8876562930452719,0.37529853539572156,,,,,
First events,"CAR[0,+20]",0.7658731985051749,18.25534507955176,271,,,,,,,
Subsequent events,"CAR[0,+20]",1.9879983579967164,15.88526817784662,157,-0.7255805285383546,0.46856322466577993,,,,,
,"CAR[-1,+1]",,,428,,,Full US sample,-0.9098471654412735,0.4421036760670835,-2.0579950240070297,0.0401970345966578
,"CAR[0,+20]",,,428,,,Full US sample,1.2141761191597826,0.841759265965818,1.4424267938015045,0.14991509619586596
,"CAR[-5,+30]",,,428,,,Full US sample,1.9064054811572861,1.0572416195500187,1.8031880753698355,0.07206350371541359
,"CAR[-1,+1]",,,271,,,First events only,-1.1951447768927634,0.5884851632142206,-2.0308834471969623,0.043246546403365116
,"CAR[0,+20]",,,271,,,First events only,0.7658731985051749,1.1089332395557303,0.6906395905419925,0.49038534858073346
,"CAR[-5,+30]",,,271,,,First events only,1.8498693351714157,1.3519391515921366,1.3683081320582233,0.17235318256526488
