ticker,market_cap
AAPL,3648980516864
ABNB,74891288576
ABSI,432285088
ACB,190260112
ADBE,98220113920
ADI,157855924224
ADPT,2074131712
ADSK,49789259776
AEYE,79037072
AFRM,15872722944
AKAM,16692884480
AMAT,278493593600
AMD,354516533248
AMPL,898643328
AMZN,2265068339200
APP,138189799424
APPF,5705303040
APTV,14653118464
ARVLF,1837
ASAN,1470193792
AUDC,258095056
AVGO,1546840571904
AZN,307963822080
BARK,77213336
BBAI,1637634688
BFLY,1017258240
BILI,9562263552
BIRD,22466982
BKKT,220963952
BKNG,140245303296
BL,2142430592
BLKB,1891841792
BLND,466245728
BLNK,80175360
BMBL,592325632
BMRN,10739336192
BTTX,5451
BYND,263003120
CARG,3336089600
CDLX,66340396
CDXS,178103936
CFLT,11133729792
CFRXQ,107
CHGG,80919896
CHWY,10835684352
CINT,611917184
CLBT,3507123968
CMPR,1825712000
COF,113172889600
COHR,47498530816
COIN,45739319296
COMP,4780249088
COUR,1016728192
CRGO,84244096
CRM,172112838656
CRTO,942473152
CRWD,101904678912
CSCO,317672751104
CUE,18203972
CVNA,68316110848
CXM,1495674752
CZOOF,489
DASH,67501170688
DAY,11180042240
DBX,5977712128
DELL,116676444160
DH,110218344
DHX,153496128
DKNG,11421915136
DMRC,140955184
DNA,394458112
DOCN,8785358848
DOCS,4241751808
DOCU,9253797888
DOMO,116617792
DOX,7140861952
DSP,697662528
EA,51031736320
EB,452958144
EBAY,43848519680
EDIT,257403376
EGHT,231965056
ENPH,4142722560
ENVX,1165409152
ERIC,38066851840
ESTC,5243877376
ETSY,5363684352
EVER,555217408
EVGO,580769920
EXPE,27794585600
FFIV,17484181504
FIVN,1185755264
FRSH,2334170624
FSLY,4736919040
FTNT,61522010112
FUBO,363442784
FVRR,363821376
GDDY,11205941248
GDRX,707416384
GH,11819112448
GOCO,33173054
GOOG,3623172702208
GPRO,121775680
GRAB,14577213440
GRPN,494763328
GTLB,3881561600
GTM,1805817856
GWRE,12411099136
HIMS,4433409024
HOOD,61040914432
HPE,32327385088
HPQ,17152539648
HUBS,12658783232
IAC,3121326336
IBM,227771875328
ILMN,19326560256
INTC,260113448960
INTU,114935545856
INVZ,136522800
IPSC,406173408
ISPC,1447092
JMIA,822381376
JTKWY,4503656448
KD,2976465152
KLTR,166583824
LAW,235583920
LAZRQ,1520491
LMND,4411907584
LOGI,13504637952
LPSN,33147408
LRCX,276904378368
LSPD.TO,1687428608
LTCH,37779296
LUCD,190805136
LYFT,5489112576
LZ,1064507904
MBLY,6013689856
MDT,110786428928
META,1432765464576
MGNI,1733816064
MMYT,3646048000
MQ,1753795584
MRVL,93846855680
MSFT,2740763754496
MTCH,7517655040
MU,420317724672
NCNO,2023283072
NET,74267844608
NFLX,419875815424
NIO,15235172352
NPK,981014656
NRDS,767124608
NRDY,204228176
NTAP,19176202240
NTES,71602356224
NTNX,10559117312
NTRA,29202305024
NXDR,562675776
NYAX,2198208512
OKTA,14111071232
OPAD,33029826
OPEN,4259757056
OPRT,211598784
ORCL,406845489152
OTLY,316309248
OUST,1192019712
OWLT,136857056
PAGS,2905603584
PATH,5935774720
PAYC,6896208384
PAYO,1730517760
PCOR,8773164032
PD,604809152
PEGA,7218309632
PERI,401051040
PGY,990325440
PHG,25691539456
PHUN,37252172
PI,3026494208
PINS,12125476864
PL,12145572864
PLTK,1166452992
PLTR,354302820352
PSNL,634592064
PSTG,20272125952
PTON,1953292800
PUBM,401286912
PYPL,42160480256
QCOM,131465666560
QSI,154076208
QTRX,163351120
RAMP,1742068864
RBLX,40148197376
RBOT,5556890
REAL,1072630080
REE,17907164
RENT,167062096
RGTI,4510937088
RIVN,18004281344
RKT,40816828416
RNG,3227646976
ROKU,14630731776
RPD,378226432
RSKD,674268480
S,4547794944
SABR,571025216
SAP,197705416704
SATL,1012654848
SBIG,485844
SEDG,2642232576
SFIX,417758912
SHOP,150215131136
SIRI,7909198336
SKLZ,38689376
SMR,2998055424
SMWB,229591424
SNAP,8047855616
SNPS,75312611328
SOFI,20550877184
SONDQ,2661
SONO,1597936512
SPOT,99807641600
SPT,338898080
SRAD,5004542464
STEM,74072480
STNE,3393815296
STX,102148849664
SWVL,13650155
SYBX,7042749
TASK,605401920
TBLA,946813760
TDC,2436048640
TDOC,932121344
TDUP,447804992
TEAM,17260730368
TENB,2201901824
TOST,15496589312
TREE,568918848
TRIP,1278392704
TRLFF,3514
TSLA,1273125142528
TTD,10295383040
TTGT,318810592
TTWO,36112916480
TWLO,20114472960
TWST,3050257152
TXG,2765836288
U,9505448960
UBER,147464011776
UDMY,694387712
UPST,2600585216
UPWK,1443083136
VRAYQ,18340
VRNS,2774713344
VSAT,7209931264
W,8903142400
WBX,56393620
WDAY,33617973248
WDC,104556224512
WEX,5453329408
WIX,4833659904
XP,9593090048
XRX,158842992
XYZ,36490285056
YELP,1583418752
YEXT,461927488
Z,9865972736
ZBRA,10736931840
ZIP,173469488
ZM,25014609920
ZS,22160175104
